S.No.,Passage,Summary,Question,Language
5.0,"आधुनिक काल में भारत में कई संगीत के प्रकार उपलब्ध है। दुनिया के पश्चिम भाग में प्रचलित पाँप, राँक, मेटल, आदि आज भारत की युवा में प्रसिद्ध है। लेकिन प्राचीन काल से आती हुई शास्त्रीय संगीत जिसे उत्तर भारत में हिन्दुस्तानी और दक्षिण भारत में कर्णाटिक संगीत कहते है आज भी लोकप्रिय है। आधुनिक कर्णाटक संगीत सभा को कच्चेरी कहते है। यह साधारण रूप से तीन घंटो तक चलता है। और कई गीत गाएँ जाते है। प्रत्येक कर्णाटिक गीत एक राग में बनाया जाता है। अतः एक गाना किसी भी गायक द्वारा एक ही तरह से गाया जाता है। हर एक रचना राग एवं ताल में पहले से ही लिख दिया जाता है जोकि बदला नहीं जा सकता। गायक की प्रतिभा से गाने को और सुधार कर सुरों को अलग अलग गाकर खूबसूरत बनाया जा सकता है। कच्चेरी वर्णम या एक शुरुवाती मुखडे से शुरू की जाती है। वर्णम में केवल सुर गाये जाते है। यह दर्शकों के सावधानी को खींचने के लिये गाया जाता है। वर्णम के बाद मुख्य संकीर्तन गाये जाते है। प्रत्येक कीर्तन से पहले उस के राग का आरोहण क्रम और अवरोहण क्रम गाया जाता है। विविध संगीत वाद्यों से राग को बार बार गायक बदल बदल कर एक नये अन्दाज में गाकर सुनाता है। इस के बाद राग के एक एक उपभाग को परखते हुए रागालापनम नाम की विधि गायक और संगीत वादक प्रदर्शित करते है। फिर गायक अपने अन्दाज में गाने की अनोखी विधि प्रदर्शित करते है। इस समय दर्शकों में से जिन लोगों को संगीत का पूर्वज्ञान हो, वे राग के सुरों का चयन कर आनन्द लेते है। ऐसे दर्शक रसिक कह लाते है। मुख्य कीर्तन के बाद संबन्धित छोटे और कम सुरो वाले गीत गाए जाते है। फिर दर्शको के अनुरोध पर कुछ छोटे गीत या मुखडे गाए जाते है। अंत में मङळम गाया जाता है। मंगळम के गाने के साथ कच्चेरी का समापन होता है।",,शास्त्रीय संगीत कैसे गाया जाता है ?,Hindi
,,,,
1.0,"ভেনিসা অ্যানা হাডজেন্স () (জন্ম: ডিসেম্বর ১৪, ১৯৮৮) একজন মার্কিন অভিনেত্রী এবং গায়িকা। তিনি বাজিয়ে অভিক্ষিপ্তাবস্থায় বেড়ে উঠেছেন। তিনি ডিজনি চ্যানেলের জন্যে বিভিন্ন চলচ্চিত্র এবং টেলিভিশন ধারাবাহিকে উপস্থিত হয়েছেন। ২০০৩ সালে পূর্ণদৈর্ঘ্য চলচ্চিত্র ""থার্টিন""-এর মাধ্যমে তার আত্মপ্রকাশ ঘটে। এটি একটি কিশোর নাট্য যেখানে হাডজেন্স একটি পার্শ্ব চরিত্রে অভিনয় করেন। ""হাই স্কুল মিউজিক্যাল"" ট্রিলজি মুক্তির পর তিনি মূলধারার সাফল্য অর্জন করেন, এবং সহ-অভিনেতা জাক এফরনের সঙ্গে তার সম্পর্ক ব্যাপকভাবে প্রচারিত হয়। ধারাবাহিকে উপস্থিতি তাকে পরিবারের নাম তৈরি করতে সাহায্য করেছে। চলচ্চিত্রের গান সবসময়ই বিশ্বব্যাপী তালিকাভুক্ত ছিলো। তার ""ব্রেকিং ফ্রি"" গান -এর সেরা ১০ তালিকায় অন্তর্ভুক্ত হয়। হাডজেন্সের আত্মপ্রকাশ অ্যালবাম ""ভি"" মুক্তি পায় সেপ্টেম্বর ২৬, ২০০৬ সালে, তালিকায় যার অবস্থান ছিলো ২৪ নম্বরে এবং পরবর্তীতে হয়। তার দ্বিতীয় অ্যালবাম, ""আইডেন্টফিাইড"", জুলাই ১, ২০০৮ সালে মার্কিন যুক্তরাষ্ট্রে মুক্তি পায়।","গায়িকা ভেনিসা অ্যানা হাডজেন্সের দ্বিতীয় অ্যালবামটির নাম হলো ""আইডেন্টফিাইড""। এটি ২০০৮ সালে মুক্তি পায়।",গায়িকা ভেনিসা অ্যানা হাডজেন্সের দ্বিতীয় অ্যালবামটির নাম কী ?,Bengali
2.0,"মোহনদাস করমচাঁদ গান্ধী ১৮৬৯ সালে পোরবন্দরের হিন্দু মোধ পরিবারে জন্মগ্রহণ করেন। তার পিতা করমচাঁদ গান্ধী ছিলেন পোরবন্দরের দেওয়ান (প্রধান মন্ত্রী)। মা পুতলিবা করমচাঁদের চতুর্থ স্ত্রী ছিলেন। পুতলিবা প্রনামী বৈষ্ণব গোষ্ঠীর ছিলেন। করমচাঁদের প্রথম দুই স্ত্রীর প্রত্যেকেই একটি করে কন্যা সন্তান জন্ম দিয়েছিলেন। অজানা কারণে তাদের মৃত্যু হয়েছিল (এরকম শোনা যায় যে সন্তান জন্ম দেবার সময়ে তারা মারা যান)। ধার্মিক মায়ের সাথে এবং গুজরাটের জৈন প্রভাবিত পরিবেশে থেকে গান্ধী ছোটবেলা থেকেই জীবের প্রতি অহিংসা, নিরামিষ ভোজন, আত্মশুদ্ধির জন্য উপবাসে থাকা, বিভিন্ন ধর্মাবলম্বী ও সম্প্রদায়ের পারস্পরিক সহিষ্ণুতা ইত্যাদি বিষয় শিখতে শুরু করেন। তিনি জন্মেছিলেন হিন্দু \""বৈশ্য\"" গোত্রে যা ছিল ব্যবসায়ী গোত্র।\n১৮৮৩ সালে মাত্র ১৩ বছর বয়সে মহাত্মা গান্ধী তার বাবা মায়ের পছন্দে কস্তুরবা মাখাঞ্জীকে (কাস্তুবাই নামেও পরিচিত ছিলেন) বিয়ে করেন। তাদের চার পুত্র সন্তান জন্মায় যাদের নাম হরিলাল গান্ধী, (জন্ম ১৮৮৮) মনিলাল গান্ধী, (জন্ম ১৮৯২) রামদাস গান্ধী (জন্ম ১৮৯৭) এবং দেবদাস গান্ধী (জন্ম ১৯০০) সালে। মহাত্মা গান্ধী তাঁর ছোটবেলায় পোরবন্দর ও রাজকোটের ছাত্রজীবনে মাঝারি মানের ছাত্র ছিলেন। কোন রকমে গুজরাটের ভবনগরের সামালদাস কলেজ থেকে ম্যাট্রিকুলেশন পরীক্ষায় উত্তীর্ণ হন। তিনি কলেজেও সুখী ছিলেন না কারণ তার পরিবারের ইচ্ছা ছিল তাকে ব্যারিস্টার করা।",মহাত্মা গান্ধী ভারতের পোরবন্দরে জন্মগ্রহণ করেন। তিনি হিন্দু মোধ পরিবারে জন্মগ্রহণ করেন। তার পিতা করমচাঁদ গান্ধী ছিলেন পোরবন্দরের দেওয়ান (প্রধান মন্ত্রী)। মা পুতলিবা করমচাঁদের চতুর্থ স্ত্রী ছিলেন।,মোহনদাস করমচাঁদ গান্ধী বা মহাত্মা গান্ধীর জন্ম ভারতবর্ষের কোথায় হয় ?,Bengali
3.0,মার্চের শুরুর দিকে পাকিস্তানি সাবমেরিন পি এন এস ম্যাংরো ফ্রান্সের তুলন সাবমেরিন ডকইয়ার্ডে যায় পাকিস্তানি সাবমেরিনারদের প্রশিক্ষন দেয়ার জন্য। সেই ৪১ জন সাবমেরিনারদের মধ্যে ১৩ জন ছিলেন বাঙালি অফিসার। তারা আন্তর্জাতিক প্রচার মাধ্যমে ২৫ মার্চের গণহত্যার কথা শুনে পালিয়ে বাংলাদেশে চলে আসার সিদ্ধান্ত নেন। এর মধ্যে ৮ জন ৩০ মার্চ বাংলাদেশের উদ্দেশ্যে রওনা দেয়। ৯ এপ্রিল ১৯৭১ তারা দিল্লিতে এসে পৌছান। এখানে তাদের নাম উল্লেখ করা হলোঃ-তারপর উক্ত ৮জনের সাথে আরো কয়েকজনকে একত্র করে ২০ জনের একটি গেরিলা দল গঠন করে তাদের ভারতে বিশেষ ট্রেনিং দেয়া হয়। তারপর তারা দেশে আসলে তাদের সাথে কর্নেল ওসমানীর দেখা করানো হয়। তখন ওসমানী নৌ-কমান্ডো বাহিনী গঠনের সিদ্ধান্ত নেন।,অপারেশন জ্যাকপটের কর্নেল ছিলেন কর্নেল ওসমানী। তিনি ছিলেন একজন বাঙালি অফিসার যিনি ২৫ মার্চের গণহত্যার কথা শুনে পালিয়ে বাংলাদেশে চলে আসার সিদ্ধান্ত নেন। তিনি ভারতে বিশেষ ট্রেনিং নেন এবং দেশে ফিরে এসে নৌ-কমান্ডো বাহিনী গঠন করেন।,অপারেশন জ্যাকপটের কর্নেল কে ছিলেন ?,Bengali
,,,,
1.0,"Rodrigo begann seine Karriere bei Red Bull Brasil. Im Juni 2017 stand er erstmals im Kader von Red Bull Brasil in der Série D, kam allerdings zu keinem Einsatz. Er kam hingegen neun Mal in der Staatsmeisterschaft von São Paulo zum Einsatz (ein Tor).""",Rodrigo begann seine Fußballkarriere bei Red Bull Brasil.,Wo hat Rodrigo seine Fußballkarriere begonnen?,German
2.0,"Österreich-Ungarn annektierte Bosnien und Herzegowina formell im Jahr 1908, wonach sich die Lage der Deutschen zu verschlechtern drohte. Einige der Einwanderer gingen zurück, andere zogen weiter, in Industriegebiete, nach Nordamerika, Brasilien oder nach Ostdeutschland. 1910 wurden in Bosnien 22.968 Menschen mit deutscher Muttersprache gezählt, von denen 8000 in etwa 20 mehrheitlich evangelisch geprägten Dörfern lebten. 5246 Personen mit deutscher Muttersprache hatten sich bis 1910 in Sarajevo niedergelassen, was etwa 10 Prozent der Bevölkerung der Stadt entsprach.","Nach der Annexion Bosniens und Herzegowinas durch Österreich-Ungarn im Jahr 1908 wanderten viele Deutsche aus dem Land aus. 1910 lebten noch 22.968 Menschen mit deutscher Muttersprache in Bosnien, davon 8000 in ländlichen Gebieten und 5246 in Sarajevo.",Wie viele Menschen mit deutscher Muttersprache wurden 1910 in Bosnien gezählt?,German
3.0,"Baden-Württemberg ( \""BW\""; amtlich Land Baden-Württemberg) ist ein Land im Südwesten von Deutschland. Gemäß seiner Verfassung hat es die Staatsform einer parlamentarischen Republik und ist ein teilsouveräner Gliedstaat der Bundesrepublik Deutschland. Er wurde 1952 durch Zusammenschluss der kurzlebigen Nachkriegsländer Württemberg-Baden, (Süd-)Baden und Württemberg-Hohenzollern gegründet und befindet sich somit in der Tradition der alten Länder Baden und Württemberg mit Einschluss der Hohenzollernschen Lande. Das Land ist naturräumlich geprägt von seinen Anteilen an der Oberrheinischen Tiefebene und Mittelgebirgen wie dem Schwarzwald, dem südwestdeutschen Schichtstufenland mit der Schwäbischen Alb und dem Alpenvorland nördlich des Bodensees. Sowohl nach Einwohnerzahl als auch bezüglich der Fläche steht Baden-Württemberg an dritter Stelle der deutschen Länder. Bevölkerungsreichste Stadt Baden-Württembergs ist die Landeshauptstadt Stuttgart, gefolgt von Mannheim und Karlsruhe. Weitere Großstädte sind Freiburg im Breisgau, Heidelberg, Heilbronn, Pforzheim, Reutlingen und Ulm.","Baden-Württemberg ist ein Land im Südwesten von Deutschland. Es ist das drittgrößte Land nach Einwohnerzahl und Fläche. Die Bevölkerungsreichste Stadt ist Stuttgart, gefolgt von Mannheim und Karlsruhe.",Welches Bundesland hat die höchste Einwohnerzahl in Baden-Württemberg?,German
,,,,
1.0,"Łęczna is a town in eastern Poland with 19,780 inhabitants (2014), situated in Lublin Voivodeship. It is the seat of Łęczna County and the smaller administrative district of Gmina Łęczna. The town is located in northeastern corner of historic province of Lesser Poland. Łęczna tops among the hills of the Lublin Upland, at the confluence of two rivers—the Wieprz, and the Świnka. On December 31, 2010, the population of the town was 20,706. Łęczna does not have a rail station, the town has been placed on a national Route 82 from Lublin to Włodawa. And shall be considered as a","Łęczna is a town in eastern Poland with 19,780 inhabitants. It is a hill located in the Lublin Upland, at the confluence of two rivers - Wieprz and Świnka. It is a road hub, and has no rail station.",Łęczna is located at the confluence of which two rivers in Poland?,English
2.0,"The µ-law algorithm (sometimes written ""mu-law"", often approximated as ""u-law"") is a companding algorithm, primarily used in 8-bit PCM digital telecommunication systems in North America and Japan. It is one of two versions of the G.711 standard from ITU-T, the other version being the similar A-law, used in regions where digital telecommunication signals are carried on E-1 circuits, e.g. Europe. Companding algorithms reduce the dynamic range of an audio signal. In analog systems, this can increase the signal-to-noise ratio (SNR) achieved during transmission; in the digital domain, it can reduce the quantization error (hence increasing signal to quantization noise ratio).","The µ-law algorithm is a companding algorithm, which is used to reduce the dynamic range of audio signals. In analog systems, this can increase the signal-to-noise ratio (SNR) achieved during transmission. ",How does the µ-law algorithm affect transmission in analog systems?,English
3.0,"Muscular activity accounts for much of the body's energy consumption. All muscle cells produce adenosine triphosphate (ATP) molecules which are used to power the movement of the myosin heads. Muscles have a short-term store of energy in the form of creatine phosphate which is generated from ATP and can regenerate ATP when needed with creatine kinase. Muscles also keep a storage form of glucose in the form of glycogen. Glycogen can be rapidly converted to glucose when energy is required for sustained, powerful contractions. Within the voluntary skeletal muscles, the glucose molecule can be metabolized anaerobically in a process called",All muscle cells produce adenosine triphosphate (ATP) molecules which are used to power the movement of the myosin heads. A short term store of energy in the form of creatine phosphate which is generated from ATP and can regenerate ATP when needed with creatine kinase.,How does muscle cells power the energy for the movement of myosin heads?,English
,,,,
1.0,"Elliott llegó a ganar cuatro premios Grammy y vendió 30 millones de discos en Estados Unidos. Es además la mujer rapera más vendidas en la historia de ""Nielsen"" Music, según ""Billboard"". En 2019, lanzó su primer extended play, titulado ""Iconology"", y en el mismo año se convirtió en la primera mujer rapera incluida en el Salón de la Fama de los Compositores. También recibió el premio en los MTV Video Music Awards por su impacto en el panorama de los vídeos musicales. En 2020, ""Billboard"" la situó en el número cinco de los 100 mejores artistas con vídeos musicales de todos los tiempos","La primera rapera en los Estados Unidos fue Missy Elliott. Ganó cuatro premios Grammy y vendió 30 millones de discos en Estados Unidos. Es además la mujer rapera más vendidas en la historia de ""Nielsen"" Music, según ""Billboard"".",¿Quién se la primera rapera en los Estados Unidos?,Spanish
2.0,"Las hojas compuestas están definidas mediante el número y arreglo de los folíolos. Una hoja pinadamente compuesta u hoja pinada, es la que tiene los folíolos dispuestos a lo largo de un eje llamado raquis. Si la hoja pinada tiene un folíolo terminal (y típicamente un número impar de folíolos) se llama hoja imparipinada. Si no tiene folíolo terminal (y típicamente tiene un número par de folíolos) se llama hoja paripinada. Una hoja bipinadamente compuesta, u hoja bipinada, es la que tiene dos órdenes de ejes, cada uno es pinado (equivalente a una hoja compuesta). El eje central de una hoja bipinada todavía se llama raquis, los ejes laterales que llevan los folíolos se llaman raquillas. Similarmente, una hoja compuesta con tres órdenes de ejes, cada uno pinado, se llama tripinadamente compuesta u hoja tripinada, etc.",La hoja imparipinada es una hoja compuesta que tiene un folíolo terminal (y típicamente un número impar de folíolos). La hoja paripinada es una hoja compuesta que no tiene folíolo terminal (y típicamente tiene un número par de folíolos).,¿Cuál es la definición de hoja imparipinada y paripinda?,Spanish
3.0,"La región Báltica es el conjunto de países que colindan, en el norte (orilla norte) y centro (orilla sur) de Europa, con el mar Báltico: Suecia, Noruega y Finlandia al norte; Estonia, Letonia, Lituania y Rusia al este; Polonia, Alemania y Dinamarca al sur. No confundir con los términos países bálticos o estados bálticos, que habitualmente se aplican con exclusividad a Estonia, Letonia y Lituania.","Los países bañados por el mar Báltico son: Suecia, Noruega, Finlandia, Estonia, Letonia, Lituania, Rusia, Polonia, Alemania y Dinamarca.",¿Qué países están bañados por el Báltico?,Spanish
,,,,
1.0,در ظرفیت های بالاتر از 20 مگاوات از گونه‌های دیگ‌بخار لوله آبی (واترتیوب) استفاده می‌شود. در این گونه دیگ‌بخار، آتش لوله‌های آب را احاطه کرده و سبب گرمایش آب و تبخیر آب داخل لوله ها می شود؛ بخار حاصله در محفظه بالایی در نظر گرفته شده جمع شده و به مصرف می رسد.,دیگ ذوب برای تولید بخار استفاده می شود. بخار حاصل از دیگ ذوب برای تولید برق، گرمایش و سایر فرآیندهای صنعتی استفاده می شود.,دیگ ذوب برای چه چیزی استفاده می شود؟,Farsi
2.0,مسیحیت دین غالب در اروپا، روسیه، آمریکا، فیلیپین، تیمور شرقی، جنوب آفریقا، مرکز آفریقا، آفریقای شرقی و اقیانوسیه است. همچنین جوامع بزرگ مسیحی در دیگر نقاط جهان مانند اندونزی، آسیای مرکزی و شرق میانه، که در آن‌ها مسیحیت دومین دین بعد از اسلام است وجود دارد. ایالات متحده آمریکا دارای بزرگترین جمعیت مسیحی در جهان است، پس از آن برزیل و مکزیک قرار دارند. واتیکان تنها کشور جهان است که ۱۰۰ درصد جمعیت آن مسیحی هستند.,دین مسیحیت در اروپا، آمریکا، روسیه، فیلیپین، تیمور شرقی، جنوب آفریقا، مرکز آفریقا، آفریقای شرقی و اقیانوسیه رواج دارد. ایالات متحده آمریکا دارای بزرگترین جمعیت مسیحی در جهان است.,دین مسیحیت در کجا بیشتر رواج دارد؟,Farsi
3.0,"موش آزمایشگاهی گونه‌ای از موش صحرایی قهوه‌ای است که برای تحقیقات علمی پرورش داده می‌شود. موش آزمایشگاهی معمولاْ از گونه \""Mus musculus\"" است. آن‌ها متداول‌ترین مدل تحقیقات پستانداران مورد استفاده هستند و برای تحقیق در زمینه‌های ژنتیک، روانشناسی، پزشکی و سایر رشته‌های علمی مورد استفاده قرار می‌گیرند. موش‌ها متعلق به رده \""Euarchontoglires\"" هستند که انسان نیز از این رده است. این ارتباط نزدیک، همولوژی بالا با انسان، سهولت نگهداری و کار با آن‌ها و میزان تولیدمثل بالا، موش‌ها را مدل‌های مناسبی برای تحقیقات مربوط به انسان قرار می‌دهد. ژنوم موش آزمایشگاهی توالی یابی شده‌است و بسیاری از ژن‌های موش، همولوگ انسانی دارند.",موش‌های آزمایشگاهی به دلیل شباهت‌های زیادی که به انسان دارند، از جمله ژنتیکی، آناتومیکی و فیزیولوژیکی، برای تحقیقات علمی مورد استفاده قرار می‌گیرند. آنها همچنین ارزان، فراوان و آسان‌تر از سایر حیوانات آزمایشگاهی مانند میمون‌ها نگهداری می‌شوند. موش‌های آزمایشگاهی در تحقیقاتی در زمینه‌های ژنتیک، روانشناسی، پزشکی و سایر رشته‌های علمی مورد استفاده قرار می‌گیرند.,چرا از موش در تحقیقات آزمایشگاهی استفاده می شود؟,Farsi
,,,,
1.0,"Paul Klebnikov (, 3. kesäkuuta 1963 New York – 9. heinäkuuta 2004 Moskova) oli venäläistaustainen taloustoimittaja ja kirjailija. Hän työskenteli kymmenen vuotta talouslehti Forbesissa ja julkaisi kaksi kirjaa. Ennen kuolemaansa hän työskenteli talouslehti Forbesin venäläisen version päätoimittajana. Paul Klebnikov murhattiin Moskovassa vuonna 2004.",Paul Klebnikov syntyi 3. kesäkuuta 1963 New Yorkissa. Hän oli venäläistaustainen taloustoimittaja ja kirjailija.,Milloin Paul Klebnikov syntyi?,Finnish
2.0,"Kālidāsa (, ’Kalin palvelija’) oli intialainen runoilija, joka lienee elänyt vuoden 400 paikkeilla Gupta-valtakunnassa. Sanskritiksi kirjoittanutta Kālidāsaa on sanottu Intian klassisen kirjallisuuden merkittävimmäksi hahmoksi. Hänen tunnetuin teoksensa on ""Śakuntalā""-näytelmä; toinen kuuluisa teos on runoelma ""Meghadūta"" (Pilvisanansaattaja). Hänen teoksensa perustuvat hindulaiseen mytologiaan.","Kālidāsan nimi tarkoittaa ""Kalin palvelijaa"". Kali on hindulainen jumalatar, ja Kālidāsa oli hindulainen runoilija. Hänen teoksensa perustuvat hindulaiseen mytologiaan.",Mitä Kālidāsan nimi tarkoittaa?,Finnish
